,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
AC087854.1,0.5515830128001411,0.5450130939253118,0.02589560080309102,0.1327910410792561,up,2.35837888076993
GMDS,0.560969181289573,0.5817413880372775,0.024174629745808338,0.12749108678214197,up,2.3988306892922346
ARGLU1,0.3937518935254497,0.42440927029253345,0.022477194032461702,0.1188038518564848,up,2.402047760589
MIPOL1,0.6033791610620717,0.6038452046385997,0.022219973800101593,0.11769730780687016,up,2.4051522999946884
BCKDHB,0.6694665066674799,0.677748784975586,0.027441396929220232,0.1472905705262434,up,2.424239242471805
IGFBP3,0.4240478164441458,0.47398399423776366,0.06189549628347275,0.33534820858590186,up,2.4377535520521287
MARK3,0.43096540459970634,0.4441459833601733,0.021793015950782643,0.11902873294003925,up,2.44937210396903
PNISR,0.5258781155339448,0.5540822856306673,0.022563431619834356,0.12334947861580421,up,2.4506932118738605
PLK2,0.551131438683121,0.5739694297472638,0.025675695372651765,0.14247862249454674,up,2.4722702188487955
MACF1,0.5074140729329482,0.5894118166889788,0.03359940010276164,0.1870692412087718,up,2.477064983589092
TENM3,0.6525756032839818,0.6689898123201836,0.05425313331488948,0.3049931558587944,up,2.4909985025754455
FBXL7,0.6564320627176143,0.6699069703876492,0.03802844706041676,0.2141391125574911,up,2.493397397354795
CUX1,0.3585145506246653,0.43317579425573566,0.02332110444406616,0.13521220324251107,up,2.535517345745105
FIGN,0.6572531206655736,0.6708337161713878,0.026197634512020777,0.1528686486472909,up,2.5447841031063034
LOXL2,0.7033080319357677,0.6949265568648287,0.03142872272920438,0.18345614224536821,up,2.545279660906912
IGFBP7,0.5503253158619995,0.5631858767326012,0.02204302931801217,0.12871061895032904,up,2.545736675851226
DDIT4,0.6653168614347368,0.6563322491612551,0.01927034151911675,0.11259158935727391,up,2.546645016297791
UBE3C,0.46029311817024343,0.4673601857070848,0.017566582438676,0.10333533580526821,up,2.5564282232917424
IL18,0.44388236614836096,0.4877610249836395,0.019047924600486394,0.1121012661984611,up,2.5570968535995613
