,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
L3MBTL4,0.3034616802853981,0.32185854356498184,0.04208535043514083,0.08341227624404206,up,0.9869415982903321
NCEH1,0.37943961468872944,0.38930467067700214,0.028543459972203398,0.05731896001692486,up,1.0058522083140893
STK33,0.4886953789805087,0.5055822765882794,0.04678915917764265,0.09447309739342748,up,1.013729256097299
SLC20A2,0.42526700297478404,0.46961950474496983,0.038793008832899774,0.07859275504886587,up,1.018599648621062
SH3D19,0.4148255957973637,0.44803501007777474,0.03245267848255506,0.06622819134578618,up,1.0291079035821287
CDC27,0.3908388418981751,0.3930590726613014,0.029110949775940857,0.06002297117634783,up,1.0439528253516106
AXL,0.3379370146590398,0.33101742972920434,0.04331124733763711,0.09092789980724095,up,1.0699813090627301
LPP,0.45467548227899635,0.49995783353200035,0.05775397838773558,0.12139912462309276,up,1.0717657835040428
SHROOM3,0.4559387762592882,0.46073020673987125,0.02791929969873424,0.059725414416189414,up,1.0970822043256307
MYO9A,0.29740017852282974,0.3146789589429464,0.02847095710236899,0.06135377600236185,up,1.1076611442348836
KALRN,0.41341027769691713,0.4119272566064198,0.02611050375947427,0.056267140153269724,up,1.107662346144742
CAMKMT,0.5356275773447856,0.5361029667555829,0.02417720224048312,0.053209486949543756,up,1.1380361858515176
DST,0.27510073865633733,0.35006498185985924,0.040051038544142575,0.08911793660010148,up,1.15387617655195
CAPN2,0.540338150932903,0.5313622687579423,0.030557262805790554,0.06811062388604147,up,1.1563645287099902
SMARCA1,0.42117631547851714,0.4140742652912111,0.023229716105957837,0.05231197855866301,up,1.1711698142239193
SLC16A7,0.7385357011918615,0.7285263436812603,0.06095108074056959,0.13984892838684668,up,1.198145491979702
ATG10,0.555569817420356,0.5563249669824835,0.0253485554350087,0.05914545798252626,up,1.2223638492872364
SMG1,0.3695621935759218,0.3636757711365209,0.029662941533129143,0.07038973142127088,up,1.2467033111972243
COL4A5,0.4718990477022178,0.5050901479107761,0.02639481293099902,0.06280902381885317,up,1.2507174058950161
CCBE1,0.4103319061047131,0.41187544724012065,0.024442732216680457,0.05854390378533542,up,1.2601133906788975
ADAM9,0.4940876587261589,0.5024011852581266,0.032090395580868514,0.0773548193507697,up,1.269349603143187
RANBP2,0.41175035346645716,0.421814911627209,0.022140258785362705,0.05374753315125078,up,1.2795264558046304
PPP4R1,0.49475368126703845,0.506795762166526,0.03829958024236698,0.09314777017064611,up,1.28219265293114
ACSL4,0.42779489920616237,0.46339803008630265,0.03790631680619894,0.09424720228470798,up,1.3140115099670622
FUT8,0.5331639677304811,0.5585063025290528,0.06406176106871048,0.16275383302533977,up,1.3451561570864632
EP300,0.4678084887428511,0.4769795672410859,0.02119745903873185,0.053918673183572983,up,1.3468936576883028
CCDC93,0.33532486227896974,0.3632464677529214,0.02304441045012495,0.05897757390979721,up,1.3557496178091224
TAGLN,0.36369753115361897,0.40015094567786513,0.11250291880186548,0.2885721496731156,up,1.3589696393624744
GPAM,0.5568303177679665,0.5546173796583775,0.020836605135495567,0.053623611548566034,up,1.3637481465820893
NOX4,0.4059738158969016,0.4094326364198148,0.022245788873777688,0.05748107249742376,up,1.3695547203831686
AKAP10,0.4636649262915749,0.4729273437076226,0.020028226015559848,0.051831506517128735,up,1.3717946859949506
HMGA2,0.39001631742868365,0.410695313552555,0.03148474820314312,0.08164205864113697,up,1.3746594314774843
ANKRD36,0.39282504451200473,0.4034172226973815,0.01967720742390503,0.051218839896740434,up,1.3801490874695086
SOX4,0.5986105322275028,0.6627958709494205,0.06736792193537189,0.17541029458835652,up,1.380599717019181
CAP1,0.3438533995691539,0.32231245415177906,0.030947395075567073,0.08059838117657472,up,1.3809328833489714
TMEM232,0.5342195585399031,0.5260422709787302,0.02083986320661784,0.0543144393598621,up,1.3819899781801261
DNAH14,0.3942945262290812,0.3805175786679425,0.02792885692384055,0.07329065722285479,up,1.3918727735314322
COL4A1,0.3992632216639148,0.45685582118377943,0.054473513958422405,0.1433894707399166,up,1.3963122489485098
ACTN1,0.3949652591186726,0.40834964849162975,0.04834388374157645,0.12812074714678656,up,1.40609883360321
DSC2,0.6402427336432204,0.6293001471714537,0.025187137284985717,0.06738650979350705,up,1.4197726472053707
CALU,0.33439587154479045,0.3816927231010593,0.02121587053990499,0.056806087920625144,up,1.4209016747456327
NAV1,0.4822787292744783,0.522708187122681,0.02410210721686397,0.06478589492824834,up,1.426520461277332
IQCJ-SCHIP1,0.36673575485658394,0.40460529237262727,0.02213894838142678,0.05956420995941815,up,1.42785903174064
LAMC1,0.4805170296159854,0.5153478550522165,0.026786002861065215,0.07226784405102217,up,1.4318745441696064
TMEM245,0.4218551050928146,0.43790865512945715,0.02798572646469801,0.07632241886231825,up,1.4474156966708778
HACD2,0.5521617730319817,0.5614250483770478,0.04382501462292128,0.11987933233018537,up,1.4517564763979824
SMCHD1,0.32754014253133457,0.34093996493831663,0.040670703390696464,0.11191153589968231,up,1.4602969105236203
CASC4,0.33178844448116906,0.3300255947653281,0.02017408965462695,0.055715346063357964,up,1.4655711796769262
FSTL1,0.27418760126475855,0.34451142529183193,0.04752102885565029,0.13152850989951465,up,1.468737572867686
KIRREL1,0.5103357458026782,0.5123826551086257,0.02140374918906889,0.059853993275665464,up,1.4835839740582901
AC019068.1,0.382212819970398,0.3882040682833943,0.023733746364749137,0.06693364463467287,up,1.4957917258063895
TPR,0.44353866385918994,0.44335861700214907,0.023887867086675747,0.06775215513146096,up,1.5039887945723813
TAOK1,0.4505553737002715,0.4618193145524281,0.0372431786979014,0.10595956752407432,up,1.5084657434463886
RASAL2,0.36857092466070773,0.4092403010210707,0.031728306664782574,0.0911275822237856,up,1.522117263861001
ERC1,0.27719740993259123,0.32505418615979054,0.03152127367369559,0.09172132473500125,up,1.5409313613179068
GRIP1,0.6381133083325304,0.6721304875283381,0.05564356938562799,0.1624181055786845,up,1.5454255931224719
CNKSR2,0.45682200043131443,0.45218017661950577,0.022793839626418858,0.06669271649068653,up,1.5488852460206095
BICD1,0.29664319422174856,0.33506887416900016,0.019688182895399337,0.057649196097048896,up,1.5499705249776858
GLS,0.2131232391754413,0.3112218211231475,0.02780503635263693,0.08189903522759875,up,1.5585002336471017
SLIT3,0.37164950280412906,0.3738108498681308,0.027653945515944287,0.08165376569165775,up,1.5620340901356742
SPECC1L,0.5232381435708391,0.5324273674679555,0.03029046616474438,0.08954819211279896,up,1.5638005248377673
ZBTB38,0.6700362740688761,0.6778751995681117,0.05352933638663109,0.15959270216265295,up,1.5759930091586276
RASA1,0.4981064045665255,0.5323458172577351,0.033818588956012516,0.10164209804025301,up,1.5876096888997406
ITPR2,0.4594871514972659,0.4670463207468111,0.03479774693012487,0.10486427066341326,up,1.5914574036276021
