,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
FAAP20,-0.3808223766574713,-0.3973612541889479,0.003830917547401344,-0.10312710361915547,down,4.750589762920519
FLRT2,-0.4896990081203832,-0.49729041596487655,-0.006023722809082569,-0.16269524665121513,down,4.755372907533714
FAM20B,-0.32666409652936124,-0.33865829274264686,0.004138938280501553,-0.11241491516651049,down,4.7634289188591055
TPI1,-0.3930721286209628,-0.41265736874668446,-0.0040781305098565625,-0.11106525697182729,down,4.767355832719447
DNAJA1,-0.42444926626969126,-0.43573954432311235,0.004361704857514904,-0.12138072336813928,down,4.798503362502063
NDUFAF8,-0.5785477114444748,-0.5792349121249687,-0.006883755058095896,-0.19355193281342456,down,4.813381140807501
RPS6,-0.37655552670254133,-0.418845404867101,-0.006433326579114709,-0.18253360973285643,down,4.82645339323203
CCNI,-0.48962101548366177,-0.5307648374611,-0.004591835685805492,-0.13067745556059407,down,4.83079544146079
RIOK3,-0.3750197480692524,-0.38518819513046376,0.005299275124168466,-0.15164144071638966,down,4.838725228043902
ZFAS1,-0.510107713914308,-0.524198872537593,-0.007246336891529331,-0.20838258414226807,down,4.845839017130493
SNRPF,-0.45042274187180953,-0.4578694210642015,-0.00486688428226312,-0.14156324795460515,down,4.86230448477814
ACSS3,-0.5358042193760479,-0.5368772828275069,0.005885084884807797,-0.17150597516572313,down,4.865051805240841
PPME1,-0.38630587038261005,-0.40486608072730257,0.00645443735576872,-0.1882500940456428,down,4.86621543656661
SNTB1,-0.3772722686524137,-0.34776128935579165,0.004036228801051379,-0.1187504944022012,down,4.878781751119978
HSP90AB1,-0.6543089349722142,-0.6568048215427301,-0.015710559311689572,-0.4670497947860622,down,4.893769923856184
TAF10,-0.5309370151697235,-0.5356855368595093,-0.004656875841223182,-0.13917888386290114,down,4.901434114316885
FOXQ1,-0.45482429621192144,-0.46001503945062094,-0.0034069673743508722,-0.10244882399055713,down,4.910271481502661
RNF145,-0.3759478039033923,-0.38683106338599244,0.006185366139116887,-0.18604983607834275,down,4.91068631191831
TMEM178B,-0.4873758951833871,-0.49882594612228814,-0.010187254578358205,-0.3109673145743662,down,4.93192573942802
DCAF13,-0.3402150468602896,-0.3592533681374403,-0.0038948573118821996,-0.11896715657807459,down,4.932849055412631
YBX3,-0.6267337778311657,-0.6189289227376349,-0.01072324013092536,-0.33224493496720026,down,4.953434404893396
NOCT,-0.5769328653607613,-0.5746275579176273,-0.0035393770714671033,-0.11044417733422231,down,4.963678081884044
TIPARP,-0.678677317786474,-0.6521342896452617,-0.012234880668943742,-0.3862806691050333,down,4.980577546158373
SARS,-0.3937228486085183,-0.39042108041357726,-0.0031663048117778207,-0.10071599855480014,down,4.991348914238349
RPL11,-0.2132686592220047,-0.30697558535128705,0.005125960485633924,-0.1631590992024688,down,4.992313279550135
PFDN2,-0.3448590740937575,-0.35747028984348417,0.0041887619905545456,-0.13430273698475978,down,5.002820984609328
CHCHD2,-0.320858731903516,-0.3647879975061232,0.004006547406129809,-0.1294503960831761,down,5.013896022274988
PPDPF,-0.40309103652942146,-0.4377885348227794,-0.004214489813879041,-0.13714009762214502,down,5.0241486481355455
PSMD14,-0.32840533867551613,-0.3223476932302448,0.004083722004034396,-0.13302781726451532,down,5.025699487731838
MRPL51,-0.33676432754682806,-0.38619223907158656,0.003025390418862265,-0.10092817183629924,down,5.060063785915596
CLCN3,-0.44697444081565546,-0.45267383611877277,-0.005019117138922892,-0.1698468274075942,down,5.080656843040521
ARF5,-0.4128213171167568,-0.43035068679994243,0.003161021642386681,-0.10712907639253692,down,5.082815378575737
ABHD12,-0.47419576323054713,-0.48324354711603723,0.004098326927711565,-0.1390935140612315,down,5.084876264076541
CD99,-0.33348977689150083,-0.3450680119935149,-0.00327121311752462,-0.11130940039741989,down,5.088605874146798
ATP5PF,-0.37274000724182543,-0.3639657843730124,-0.0031060445974523715,-0.10694031760869427,down,5.1055835118892485
PDLIM1,-0.37705021730301497,-0.3960675109088889,0.0031182942255365766,-0.10776946251758134,down,5.111047565243703
RPS9,-0.24383027099413923,-0.30296055998203336,-0.004324840574942014,-0.14959480156788454,down,5.1122692799195795
HIPK2,-0.3507134046148247,-0.31754993569761636,0.004233106620941807,-0.14955565103270418,down,5.142821787344384
FAM13A,-0.44417644991235206,-0.4589543511716276,-0.007075941833971027,-0.2519729414909776,down,5.154202816991438
RALYL,-0.5564148110179037,-0.5396368779246137,0.00654480326394827,-0.23589681085613787,down,5.171662278782806
PTPDC1,-0.46561682968517026,-0.46595209769684254,0.003089060389392714,-0.11135718336317116,down,5.17188274030106
TLE5,-0.39990574419120334,-0.42838689245800415,0.004377889069593069,-0.1593232655239848,down,5.1855777458440455
PFN2,-0.35385419040417543,-0.3548474136733421,0.0029727472902857763,-0.10979901743966716,down,5.206924507238773
XBP1,-0.39092639951813535,-0.40072750418879,0.0037870161538251772,-0.14020093443540912,down,5.210290579510052
