,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
RGS7BP,0.7425433885608583,0.7364045451551957,0.028725816003681102,0.14461962017490995,up,2.331843511649562
PDLIM7,0.5848667483400076,0.594511371054196,0.032392424569705563,0.16360456243422608,up,2.336484618357217
MGLL,0.6271684140090156,0.630883786541749,0.03270666735032617,0.16686344110165505,up,2.3510112340174607
SCFD1,0.35406473415872175,0.4426594401590919,0.025762278594374858,0.1348778292485538,up,2.3883211163981017
FN1,0.5760790746748096,0.6056082362511508,0.07312479277824235,0.39133838973620166,up,2.4199841071221555
NPAS3,0.5892654886229625,0.5871859389458688,0.023680366805608765,0.12920486044087232,up,2.4478970090941674
IQCJ-SCHIP1,0.23112881148977982,0.32388891865323755,0.018793687556218065,0.10292905321142114,up,2.4533301867896906
ACTN1,0.5371609011566494,0.5616145216139677,0.04199355457086569,0.23137792218611972,up,2.462011394435236
SRRM2,0.4551854198539878,0.4903640472810394,0.023074258398392642,0.12752701061290908,up,2.4664466608673346
B2M,0.5994981259731667,0.5739650373682808,0.02230332889121291,0.1249861161884095,up,2.48643688385255
ZBTB38,0.5753092764546146,0.6165948504873296,0.038951794091231506,0.2187027129754884,up,2.489209432508621
MXRA8,0.7967145815121616,0.7612707760904359,0.023588305338106418,0.13258590537542664,up,2.4907837376076474
HRK,0.5687881823881754,0.5587801895344294,0.018858394502478188,0.10640202034221238,up,2.4962467813090603
KANSL1L,0.4195843458016762,0.4573116383980766,0.022521206460695362,0.12745398123390925,up,2.500620419254276
HERC2,0.4209504665378912,0.41944755361886676,0.020268661881022682,0.11694472114893233,up,2.528503988699392
USP14,0.4135190102736133,0.4231064609233162,0.035629936318201334,0.20714575358490273,up,2.5394844358387303
NBEAL1,0.5412917099313067,0.5521562693749604,0.024049691496768662,0.14000028567927889,up,2.5413394783748227
IGFBP3,0.37070316576935664,0.3793239783158862,0.047414027912582236,0.2761736028639538,up,2.5421895678815596
CALU,0.3080940381446548,0.3092740697082918,0.01959560146007962,0.11444512443066238,up,2.5460542425084625
CCDC85A,0.5973570359192367,0.6008197097470367,0.025484385386091622,0.14901784598133552,up,2.5477996494552544
SLC25A4,0.5520332919779937,0.5709236416592159,0.017098571770414166,0.10167863471450893,up,2.572068835729422
HMGA2,0.5227814111014125,0.5384881681737256,0.030182966216528745,0.1795837584421132,up,2.5728503805095286
ITGA11,0.8639722716383793,0.8268239496166859,0.048301281524242824,0.29091175458212615,up,2.5904482190543057
GMFB,0.39501728838103173,0.4111489168265667,0.016829184701016204,0.10138115876687499,up,2.590752367527839
SMAD5,0.5180322339214626,0.5226905338727313,0.021472438214012297,0.13090333092336795,up,2.6079438832105324
CREB3L2,0.5784989648081656,0.5860027950434014,0.02190784874756788,0.13687978658065056,up,2.643389685312586
PPP1R3B,0.5952916324086369,0.6013865276358347,0.018541137332070558,0.11687023264155653,up,2.656105867773842
TNS1,0.6515603072716871,0.6446267761972581,0.026275660773892248,0.16565178913532103,up,2.6563548351471775
TPK1,0.3850127244442461,0.40514652278364566,0.0158181792804832,0.1001901253616468,up,2.6630848689760205
RSU1,0.4170274275522066,0.41861925111371007,0.0187894254079264,0.1190509358781485,up,2.6635861078535745
