,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
MITF,-0.5910643092572407,-0.6111943590876842,-0.024906621619138022,-0.2003095735631473,down,3.007630124628986
ZNF148,-0.2828079887338634,-0.320505046117598,0.01875230434249184,-0.1516885773955791,down,3.0159726558694255
NEBL,-0.5719958719320638,-0.6060866118360881,-0.06237194052538379,-0.5064010150798433,down,3.0213112465707312
MEF2A,-0.4256675681325819,-0.42313424654840587,-0.020588793848770645,-0.1682451358701388,down,3.0306335754267506
TMEM41B,-0.3205735475251196,-0.3206363799863595,0.01800654458781825,-0.1475755773347116,down,3.0348607225640647
PARD3B,-0.5928165436516852,-0.6232432350708565,-0.03229101357770432,-0.2666772090889262,down,3.0458899024675756
ZMYND8,-0.7328308742257243,-0.7434176288218791,-0.03978189580888857,-0.33205162475329336,down,3.0612236231432406
USP53,-0.6665457694951521,-0.6491429851503846,-0.02550564186906484,-0.2132173928928335,down,3.063436815774259
INPP4B,-0.6576004760299891,-0.6638040580409963,-0.031339651615277776,-0.2655849090170204,down,3.083112125236881
ESYT2,-0.26835112926837223,-0.30391231565618787,0.01835834728465494,-0.15677297712499738,down,3.094168813617034
NAP1L1,-0.28913521626987476,-0.3537030428402555,0.02020159935194151,-0.17261020157739843,down,3.0949763127842833
CNTLN,-0.3573460604921328,-0.3582668182912878,-0.011981444101433838,-0.10287573021158078,down,3.1020289618270964
NYAP2,-0.6698977670214119,-0.6882416685554734,-0.03462860851106627,-0.29855992579529383,down,3.1079842110491267
ANKRD1,-0.34390484759207457,-0.3656107567954308,0.0611145987592717,-0.5398849298991932,down,3.143062996293971
FBXW11,-0.3265588163790799,-0.305281803987463,0.0178704198385725,-0.15801047458764486,down,3.1443747646606446
OSBPL3,-0.3172988376081324,-0.31410447664233593,0.01579574634974898,-0.1397823639784838,down,3.14557433944203
LRRC7,-0.7649098220686477,-0.768144894130353,-0.06141334011148551,-0.5450259203896428,down,3.1497008685844903
PACS1,-0.37733452343749113,-0.38718254791476325,0.02005499344016902,-0.1787806146443299,down,3.156156912806421
WARS,-0.33174802004202475,-0.3028158069281091,0.01542059755191722,-0.1400405465672721,down,3.182914021382084
